Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PHGE,BiomX Inc. COmmon Stock,$0.2295,-0.0005,-0.217%,16020578.00,,2019,439088,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$1.97,0.04,2.073%,14200140.00,China,,55815,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.77,0.03,1.724%,181389862.00,Canada,,693781,Basic Materials,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.16,0.01,0.87%,85046657.00,Israel,,133381,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PMNT,Perfect Moment Ltd. Common Stock,$1.95,0.10,5.405%,30524226.00,United Kingdom,2024,33195,,
PRK,Park National Corporation Common Stock,$183.96,0.09,0.049%,2970866251.00,United States,1994,135295,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$1.65,-0.04,-2.367%,26625456.00,United States,1999,85825,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$1.22,-0.10,-7.576%,4135386.00,United States,1998,117795,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$4.08,-0.12,-2.857%,,United States,,3228,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.44,0.007,1.617%,27996501.00,United States,2015,99553,Basic Materials,Metal Mining
RCG,RENN Fund Inc Common Stock,$1.79,-0.01,-0.556%,0.00,United States,,16157,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$1.88,-0.02,-1.053%,372122406.00,United States,,1099718,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$28.75,-0.64,-2.178%,619384193.00,United States,1999,127020,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$2.08,0.03,1.463%,3825178.00,,2017,8961,Real Estate,Real Estate
